CELC: Techno Edge (400m) | The Deck (650m) | Terrace (850m) | Fine Food (1300m) | Flavours (1400m) | Frontier (1400m) | PGP Canteen (1800m)
HSSML: Terrace (700m) | The Deck (500m) | PGP Canteen (950m) | Techno Edge (1100m) | Frontier (1750m) | Fine Food (2000m) | Flavours (2100m)
CLB: Techno Edge (200m) | The Deck (750m) | Terrace (900m) | Fine Food (1000m) | Frontier (1100m) | Flavours (1100m) | PGP Canteen (1900m)
MSL: Frontier (200m) | PGP Canteen (1200m) | Techno Edge (1300m) | Fine Food (1500m) | Flavours (1700m) | The Deck (2000m) | Terrace (2200m)
UTown SRC: Fine Food (100m) | Flavours (200m) | Techno Edge (1400m) | Frontier (1700m) | The Deck (2100m) | Terrace (2300m) | PGP Canteen (3100m)
UTown ERC: Flavours (250m) | Fine Food (300m) | Techno Edge (1300m) | Frontier (1600m) | The Deck (2000m) | Terrace (2200m) | PGP Canteen (3000m)
University Hall:  Frontier (350m) | Techno Edge (900m) | Fine Food (1100m) | Flavours (1200m) | The Deck (1600m) | PGP Canteen (1700m) | Terrace (1800m)
MPSH: Fine Food (750m) | Techno Edge (850m) | Flavours (900m) | Frontier (1100m) | The Deck (1500m) | Terrace (2100m) | PGP Canteen (2500m)
UHC: Frontier (550m) | Techno Edge (650m) | Fine Food (850m) | Flavours (1000m) | The Deck (1300m) | Terrace (1500m) | PGP Canteen (1900m)
